booth_no,total_votes_2016,DMK_2016,AIADMK_2016,PMK_2016,DMK_2021,candidate_2_NAJUHAB JAMAS YTRAP,candidate_3_LAKKAM IHDEEN MAIAM,candidate_4_RALIMAT IHCTAK MAAN,AIADMK_2021,candidate_6_ARTTENUM MAGAZAK LAK,candidate_7_OITARENEG SELPOEP WE,candidate_8_EDNEPEDNI TN,candidate_9_EDNEPEDNI TN,candidate_10_EDNEPEDNI TN,candidate_11_EDNEPEDNI TN,candidate_12_EDNEPEDNI TN,candidate_13_EDNEPEDNI TN,candidate_14_EDNEPEDNI TN,candidate_15_EDNEPEDNI TN,candidate_16_EDNEPEDNI TN,total_votes_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_share_2016,DMK_share_2021,DMK_swing,turnout_change
211,769,423,248,20,300,2,34,68,331,7,2,1,1,2,0,1,1,2,2,16,770,32.25,42.99,10.74,55.01,38.96,-16.05,0.13
212,878,412,328,51,348,3,53,48,229,4,0,2,0,1,0,3,0,2,1,14,708,37.36,32.34,-5.02,46.92,49.15,2.23,-19.36
213,488,238,163,21,175,1,39,23,184,10,1,0,0,0,0,1,0,0,0,4,438,33.4,42.01,8.61,48.77,39.95,-8.82,-10.25
214,766,297,302,115,280,1,36,45,301,5,1,1,0,0,0,3,1,0,1,14,689,39.43,43.69,4.26,38.77,40.64,1.87,-10.05
215,512,200,207,45,293,3,108,68,341,3,2,1,1,2,0,1,0,0,0,16,839,40.43,40.64,0.21,39.06,34.92,-4.14,63.87
216,428,110,232,17,342,2,41,42,276,7,0,0,1,0,0,1,0,1,0,12,725,54.21,38.07,-16.14,25.7,47.17,21.47,69.39
217,567,203,261,39,111,2,36,22,203,4,1,1,0,1,0,0,0,0,0,6,387,46.03,52.45,6.42,35.8,28.68,-7.12,-31.75
218,609,250,242,53,258,5,61,33,425,4,1,1,1,0,0,0,1,0,1,26,817,39.74,52.02,12.28,41.05,31.58,-9.47,34.15
219,561,120,217,192,393,1,60,42,182,4,1,1,0,1,1,0,0,0,0,13,699,38.68,26.04,-12.64,21.39,56.22,34.83,24.6
220,739,379,255,7,478,2,50,56,279,13,1,1,1,1,0,2,0,0,2,19,905,34.51,30.83,-3.68,51.29,52.82,1.53,22.46
