booth,category,winner,winner_votes,runner_up,runner_votes,margin,margin_pct
131(M),STRONG AIADMK,AIADMK,260,DMK,202,58,12.55
131 A(W),STRONG AIADMK,AIADMK,305,DMK,166,139,29.51
132,STRONG AIADMK,AIADMK,300,DMK,202,98,19.52
133,STRONG AIADMK,AIADMK,337,DMK,271,66,10.86
134,SWING AIADMK,AIADMK,319,DMK,294,25,4.08
135,STRONG AIADMK,AIADMK,349,DMK,246,103,17.31
136,STRONG AIADMK,AIADMK,442,DMK,229,213,31.74
137,STRONG AIADMK,AIADMK,362,DMK,211,151,26.35
138,STRONG AIADMK,AIADMK,394,DMK,108,286,56.97
139,LEAN AIADMK,AIADMK,321,DMK,267,54,9.18
140,STRONG AIADMK,AIADMK,317,DMK,215,102,19.17
141(M),STRONG AIADMK,AIADMK,226,DMK,155,71,18.64
141 A(W),STRONG AIADMK,AIADMK,256,DMK,137,119,30.28
142,STRONG AIADMK,AIADMK,349,DMK,181,168,31.7
143 (M),STRONG AIADMK,AIADMK,289,DMK,136,153,36.0
143 A(W),STRONG AIADMK,AIADMK,297,DMK,166,131,28.29
144,STRONG AIADMK,AIADMK,406,DMK,278,128,18.71
145,STRONG DMK,DMK,339,AIADMK,267,72,11.88
146,STRONG DMK,DMK,249,AIADMK,190,59,13.44
147,SWING AIADMK,AIADMK,339,DMK,315,24,3.67
148 (M),STRONG DMK,DMK,267,AIADMK,156,111,26.24
148 A (W),STRONG DMK,DMK,250,AIADMK,182,68,15.74
149,STRONG DMK,DMK,167,AIADMK,104,63,23.25
150,STRONG DMK,DMK,404,AIADMK,288,116,16.76
151,STRONG DMK,DMK,363,AIADMK,264,99,15.79
152,STRONG DMK,DMK,313,AIADMK,223,90,16.79
153,STRONG DMK,DMK,255,AIADMK,193,62,13.84
154,STRONG DMK,DMK,467,AIADMK,375,92,10.93
155,LEAN DMK,DMK,240,AIADMK,205,35,7.87
156,STRONG DMK,DMK,347,AIADMK,266,81,13.21
157,STRONG AIADMK,AIADMK,299,DMK,148,151,33.78
158,SWING DMK,DMK,406,AIADMK,370,36,4.64
159,SWING DMK,DMK,330,AIADMK,314,16,2.48
